eventDetLatSum: $112728620$, patternDetLatSum: $13$, totalLatencySum: $112728633$, matchedPatternsSum: $702$
eventDetLatSum: $106143528$, patternDetLatSum: $9$, totalLatencySum: $106143537$, matchedPatternsSum: $657$
eventDetLatSum: $115734828$, patternDetLatSum: $8$, totalLatencySum: $115734836$, matchedPatternsSum: $712$
eventDetLatSum: $115445652$, patternDetLatSum: $16$, totalLatencySum: $115445668$, matchedPatternsSum: $706$
eventDetLatSum: $116139580$, patternDetLatSum: $12$, totalLatencySum: $116139592$, matchedPatternsSum: $706$
eventDetLatSum: $83040586$, patternDetLatSum: $12$, totalLatencySum: $83040598$, matchedPatternsSum: $502$
eventDetLatSum: $112487280$, patternDetLatSum: $12$, totalLatencySum: $112487292$, matchedPatternsSum: $676$
eventDetLatSum: $54553498$, patternDetLatSum: $3$, totalLatencySum: $54553501$, matchedPatternsSum: $326$
eventDetLatSum: $94617609$, patternDetLatSum: $8$, totalLatencySum: $94617617$, matchedPatternsSum: $562$
eventDetLatSum: $118518945$, patternDetLatSum: $11$, totalLatencySum: $118518956$, matchedPatternsSum: $700$
eventDetLatSum: $116310847$, patternDetLatSum: $12$, totalLatencySum: $116310859$, matchedPatternsSum: $683$
eventDetLatSum: $122448799$, patternDetLatSum: $17$, totalLatencySum: $122448816$, matchedPatternsSum: $715$
eventDetLatSum: $129174299$, patternDetLatSum: $16$, totalLatencySum: $129174315$, matchedPatternsSum: $750$
eventDetLatSum: $124010952$, patternDetLatSum: $13$, totalLatencySum: $124010965$, matchedPatternsSum: $716$
eventDetLatSum: $108148675$, patternDetLatSum: $19$, totalLatencySum: $108148694$, matchedPatternsSum: $621$
eventDetLatSum: $81078215$, patternDetLatSum: $13$, totalLatencySum: $81078228$, matchedPatternsSum: $463$
eventDetLatSum: $74858571$, patternDetLatSum: $6$, totalLatencySum: $74858577$, matchedPatternsSum: $425$
eventDetLatSum: $108593151$, patternDetLatSum: $10$, totalLatencySum: $108593161$, matchedPatternsSum: $613$
eventDetLatSum: $120932721$, patternDetLatSum: $13$, totalLatencySum: $120932734$, matchedPatternsSum: $679$
eventDetLatSum: $130192745$, patternDetLatSum: $9$, totalLatencySum: $130192754$, matchedPatternsSum: $727$
eventDetLatSum: $132516091$, patternDetLatSum: $19$, totalLatencySum: $132516110$, matchedPatternsSum: $736$
eventDetLatSum: $132873645$, patternDetLatSum: $14$, totalLatencySum: $132873659$, matchedPatternsSum: $734$
eventDetLatSum: $129045838$, patternDetLatSum: $14$, totalLatencySum: $129045852$, matchedPatternsSum: $709$
eventDetLatSum: $122779322$, patternDetLatSum: $7$, totalLatencySum: $122779329$, matchedPatternsSum: $671$
eventDetLatSum: $131346241$, patternDetLatSum: $10$, totalLatencySum: $131346251$, matchedPatternsSum: $714$
eventDetLatSum: $134253733$, patternDetLatSum: $10$, totalLatencySum: $134253743$, matchedPatternsSum: $726$
eventDetLatSum: $127512914$, patternDetLatSum: $12$, totalLatencySum: $127512926$, matchedPatternsSum: $686$
eventDetLatSum: $129893385$, patternDetLatSum: $10$, totalLatencySum: $129893395$, matchedPatternsSum: $695$
eventDetLatSum: $133931389$, patternDetLatSum: $16$, totalLatencySum: $133931405$, matchedPatternsSum: $713$
