eventDetLatSum: $136498$, patternDetLatSum: $4$, totalLatencySum: $136502$, matchedPatternsSum: $401$
eventDetLatSum: $140445$, patternDetLatSum: $11$, totalLatencySum: $140456$, matchedPatternsSum: $401$
eventDetLatSum: $115030$, patternDetLatSum: $1$, totalLatencySum: $115031$, matchedPatternsSum: $247$
eventDetLatSum: $117024$, patternDetLatSum: $3$, totalLatencySum: $117027$, matchedPatternsSum: $247$
eventDetLatSum: $142876$, patternDetLatSum: $0$, totalLatencySum: $142876$, matchedPatternsSum: $270$
eventDetLatSum: $143413$, patternDetLatSum: $2$, totalLatencySum: $143415$, matchedPatternsSum: $270$
eventDetLatSum: $142568$, patternDetLatSum: $2$, totalLatencySum: $142570$, matchedPatternsSum: $314$
eventDetLatSum: $142893$, patternDetLatSum: $1$, totalLatencySum: $142894$, matchedPatternsSum: $314$
eventDetLatSum: $168471$, patternDetLatSum: $5$, totalLatencySum: $168476$, matchedPatternsSum: $424$
eventDetLatSum: $160242$, patternDetLatSum: $5$, totalLatencySum: $160247$, matchedPatternsSum: $424$
eventDetLatSum: $35429$, patternDetLatSum: $2$, totalLatencySum: $35431$, matchedPatternsSum: $215$
eventDetLatSum: $38265$, patternDetLatSum: $2$, totalLatencySum: $38267$, matchedPatternsSum: $215$
eventDetLatSum: $133066$, patternDetLatSum: $2$, totalLatencySum: $133068$, matchedPatternsSum: $295$
eventDetLatSum: $135629$, patternDetLatSum: $1$, totalLatencySum: $135630$, matchedPatternsSum: $295$
eventDetLatSum: $130888$, patternDetLatSum: $1$, totalLatencySum: $130889$, matchedPatternsSum: $327$
eventDetLatSum: $133142$, patternDetLatSum: $4$, totalLatencySum: $133146$, matchedPatternsSum: $327$
eventDetLatSum: $146773$, patternDetLatSum: $2$, totalLatencySum: $146775$, matchedPatternsSum: $385$
eventDetLatSum: $155568$, patternDetLatSum: $5$, totalLatencySum: $155573$, matchedPatternsSum: $385$
eventDetLatSum: $108170$, patternDetLatSum: $5$, totalLatencySum: $108175$, matchedPatternsSum: $221$
eventDetLatSum: $109944$, patternDetLatSum: $2$, totalLatencySum: $109946$, matchedPatternsSum: $221$
eventDetLatSum: $142360$, patternDetLatSum: $4$, totalLatencySum: $142364$, matchedPatternsSum: $396$
eventDetLatSum: $143379$, patternDetLatSum: $14$, totalLatencySum: $143393$, matchedPatternsSum: $396$
eventDetLatSum: $109007$, patternDetLatSum: $26$, totalLatencySum: $109033$, matchedPatternsSum: $242$
eventDetLatSum: $108298$, patternDetLatSum: $7$, totalLatencySum: $108305$, matchedPatternsSum: $242$
eventDetLatSum: $127816$, patternDetLatSum: $3$, totalLatencySum: $127819$, matchedPatternsSum: $395$
eventDetLatSum: $131945$, patternDetLatSum: $3$, totalLatencySum: $131948$, matchedPatternsSum: $395$
